 ,Song Name,Genre,Genre ID,Mood/Category,Mood/Category ID,Tags,Epidemic Genre (if applicable),Epidemic Mood (If applicable)
0b7c952d-742a-4705-8ea0-0be5f90ce495,Origami,Electronic/Synth,4,"Upbeat, Chill","13, 1",#percussion #house #perc #rhythmic #chillparty,Electronica & Dance:Deep House,"Dreamy,Hopeful"
b475542d-d3f3-432b-b37c-a7d2e3646351,Columbus Circle,Electronic/Synth,4,"Chill, Groovy","1, 7",#dreamy #runway #house #trippy,Electronica & Dance:Deep House,"Epic,Chasing"
15ebd3d2-c1f1-4592-bf63-13d97804d759,Moonrise,Ambient,2,"Dreamy, Slow","3, 11",#dramatic #moving #touching,"Film:Mystery,Nostalgia","Floating,Peaceful"
e23f9615-58d4-4cf6-a2b2-01079117be22,Drummy Dubby Steps 2,Electronic/Synth,4,Weird/Eccentric,14,#techno #drums #adventure,Electronica & Dance:Beats,Mysterious
9c4fcdec-afdf-4081-9ca8-d7df5d0caf63,Outside Circle,"Hip-Hop, Electronic/Synth","6, 4",Chill,1,#trap #smooth #driving,"Hip Hop:Alternative Hip Hop,Trap","Dark,Dreamy"
56d1bb66-f6a0-4cf7-8da3-54ecc07d897d,Pursuit,"Hip-Hop, Electronic/Synth","6, 4",Dark,2,#trap #chill #hard #fire,"Hip Hop:Mainstream Hip Hop,Alternative Hip Hop","Dark,Dreamy"
a98bdfdc-95f2-49eb-9b12-6fd8ecc62878,Hellish,"Hip-Hop, Electronic/Synth","6, 4",Dark,2,#trap #chill #hard #fire,Hip Hop:Mainstream Hip Hop,"Dark,Mysterious"
06d7d368-5b4a-4647-b738-6c6728a53dd8,Days Inn,"Hip-Hop, Electronic/Synth","6, 4",Dark,2,#trap #hard #fire,"Hip Hop:Mainstream Hip Hop,Trap",Heavy & Ponderous
1fb741d7-1fe0-4990-8b01-d33b4ec0293e,Sunday,"Pop, Electronic/Synth","9, 4",Happy,8,#upbeat #vlog,Hip Hop:Mainstream Hip Hop,"Dreamy,Laid Back"
eb123258-b5f3-49a2-9424-8e3449aeaf19,For the Record (Dylan Sitts Remix) (Instrumental Version),"Hip-Hop, Electronic/Synth","6, 4","Dark, Suspense","2, 12",#trap,Hip Hop:Mainstream Hip Hop,"Dark,Epic"
48e8853e-79ea-46de-b21f-155319eb92c1,Chasing A Dream,R&B,6,"Slow, Chill","11, 1",#dreamy #vocals #dark #synth ,Electronica & Dance:Beats,"Dark,Dreamy"
8dbd4dda-cbf1-40ca-a0dc-56bf7a384b7b,ITEYBC,Ambient,2,"Chill, Slow, Melancholy","1, 11, 9",#vocals #trap #sadboi #sadboymusic,Electronica & Dance:Beats,"Dreamy,Laid Back"
77f1d31a-a331-4b29-ace9-83d8ee21a62c,Feel Something,Pop ,9,"Dreamy, Chill","3, 1",#club #upbeat #dance,Electronica & Dance:Beats,"Romantic,Happy"
4fd0a72f-e265-4e1a-a55d-29ada807092b,Speeding Through The Night,Electronic/Synth,4,Dreamy,3,#cruising #strangerthings #retro #80s,Electronica & Dance:Electro,"Sentimental,Dreamy"
dada6070-f34a-4c6f-949a-a6a2c3d082a2,Moving Strong,"Electronic/Synth, Pop",4,Epic,5,#marathon #actionsports #action #buildup,"Pop,Rnb & Soul:RnB,Synth Pop","Sexy,Laid Back"
e997ee3c-09b1-4a79-bdab-54b63c75c860,Zero,"Hip-Hop, R&B",6,"Chill, Slow ","1, 11",#lo-fi #coffeehouse #piano,Hip Hop:Alternative Hip Hop,"Smooth,Laid Back"
40d7b98f-ff59-4eae-b108-782bc03bc50c,Thank You Come Again,Hip-Hop/R&B,6,"Dreamy, Chill","1, 3",#piano #lo-fi ,Hip Hop:Alternative Hip Hop,"Smooth,Dreamy"
6998801c-78fb-4a0b-a988-1daa6d32175f,Echo Chambers,"Ambient, Hip-Hop","2, 6","Chill, Melancholy","1, 9",#chill #electronic #beats ,Hip Hop:Alternative Hip Hop,"Dreamy,Laid Back"
07dc1d0b-88a8-4ce3-992b-2e0abdac26a5,Disco Italia 3,Electronic/Synth,4,Groovy/Funk,7,#upbeat #dancefloor #80s #disco #retro #arcade,"Pop,Electronica & Dance:1980s Pop,Disco","Hopeful,Happy"
1a82b5d1-0874-45b0-aa57-3737c53e2f6e,Disco Italia 1,Electronic/Synth,4,Groovy/Funk,7,#80s #disco #arcade #retro,"Funk,Electronica & Dance:Old School Funk,Disco","Dreamy,Hopeful"
f0a832eb-3b19-4b03-8cc5-eec013822e92,Psycho,Hip-Hop/R&B,6,Dark,2,#trap #fire #banger #free21savage,Hip Hop:Trap,"Dark,Mysterious"
7b2baff2-5177-4bc3-90ee-6c2514a363a2,In Bed Flying,Hip-Hop/R&B,6,Dark,2,#trap #fire #rapbeats #claps,Hip Hop:Trap,"Eccentric,Quirky"
5832cb0c-4071-4881-8b0c-26ed8b09de90,B Ball Bouncer,Hip-Hop/R&B,6,Upbeat ,13,#trap #rap #fire #synths #action,Hip Hop:Trap,"Dark,Weird"
14b58931-3836-4b93-8205-c9cd61504708,All Eyes On Me,Hip-Hop/R&B,6,"Upbeat, Dark","13, 2",#trap #rap #fire #synths #party #club,Hip Hop:Trap,"Sexy,Dreamy"
13ef57e8-9f71-4c34-836a-91cc2daf5f33,Miny Moe (Instrumental Version),Electronic/Synth,4,Upbeat,13,#rave #party #dance #nightlife,Electronica & Dance:Dance,"Dark,Sexy"
83b7f175-d9bb-4ca7-bc4b-57a8857e7cfa,In The Blue (Instrumental Version),"Pop, Electronic/Synth","9, 4","Groovy/Funk, Upbeat","7, 13",#motivation #synth #retro ,"Pop:1980s Pop,2010s Pop","Dreamy,Euphoric"
11b55e06-6515-4a47-bfd3-3790028cf9e1,Brings Back The Feeling (Instrumental Version),"Pop, Electronic/Synth","9, 4","Happy, Upbeat","8, 13",#bright #sunny #hopeful,Pop:1980s Pop,"Euphoric,Happy"
da0dc212-e0c2-4672-b987-041e865181c8,I'll Never Die (Instrumental Version),"Pop, Electronic/Synth","9, 4","Happy, Upbeat","8, 13",#80s #70s #workout,Pop:1980s Pop,"Dreamy,Euphoric"
ebc2e2e1-bc9f-4488-abb8-07dfae7c73b6,Keep On Missing You,Pop,9,"Dreamy, Chill","3, 1",#sentimental #electronic #vocals,Rnb & Soul:RnB,"Sentimental,Romantic"
b67c4b13-2b56-4874-8110-3c6aeaa5d13f,Every Second Of My Life (Instrumental Version),Soul,11,Groovy/Funk,7,#motown #happy #oldschool #sentimental #nostalgic,"Rnb & Soul:Old School RnB,Motown & Old School RnB","Romantic,Happy"
46c001a9-8503-49eb-86a0-ed07775784d0,Jello Walking 1,"Jazz, Film Score","7, 5",Suspense,12,#mystery #sneaky,"Comedy:Badly Played,Sneaky","Funny,Eccentric"
6e5008a6-ffc0-4b53-adbb-4f51ba9dd5dc,Childrens Playground 2,Film score,5,Funny/Suspense,"12, 6",#comedy #suspense #mystery #cartoon #circus #silly,"Circus & Funfair,Comedy:Badly Played,Amusement Park","Funny,Laid Back"
090699a2-5483-4cf6-8444-5dad369df1c8,Albatross,Electronic/Synth,4,"Weird/Eccentric, Upbeat","14, 13",#videogames #dubstep #8bit,"Electronica & Dance:Electro,Video Games","Eccentric,Quirky"
2b9fd576-2988-4f15-a8f5-923268496a2f,Earth Worms,"Pop, Electronic/Synth","9, 4","Weird/Eccentric, Upbeat","14, 13",#thriller #strangerthings #terminator #retro,"Pop,Electronica & Dance:Synth Pop,Video Games","Eccentric,Dreamy"
20bab72f-6bf3-4f3a-839c-abb8563c24e6,Powerwalkin',Electronic/Synth,4,Groovy/Funk,7,#80s #retro #mystical #breakdown ,Electronica & Dance:Electro,"Euphoric,Happy"
e600ce2c-69d0-4666-93f0-1b9118ad120f,Breaktime,Electronic/Synth,4,Weird/Eccentric,14,#70s #80s #retro #groovy #dance,"Pop,Electronica & Dance:Synth Pop,Electro",Funny
c4837c04-e1c6-4d0b-95da-08505af8f318,On The Knife,Electronic/Synth,4,"Upbeat, Suspense","13, 12",#retro #dance #70s #80s #marathon #workout,"Pop,Electronica & Dance:Synth Pop,Electro","Eccentric,Euphoric"
71c61576-d906-439f-8539-af0b9f8fb7e7,Sunset Drive,Electronic/Synth,4,Chill,1,#cruising #strangerthings #retro #80s #dreamy,"Pop,Electronica & Dance:Synth Pop,Electro","Elegant,Dreamy"
e649373a-8500-4351-8aa8-5573fcaf2f73,Call Waiting,Electronic/Synth,4,Weird/Eccentric,14,#retro #70s #80s #trippy,"Pop,Electronica & Dance:Synth Pop,Electro","Dreamy,Hopeful"
658d1c15-1be2-4308-a57e-e43b7918c4e5,Revelation,"Electronic/Synth, Pop","4, 9",Dreamy,3,#synth #80s #retro ,"Pop,Electronica & Dance:Synth Pop,Electro","Eccentric,Dreamy"
6e3bc70a-6c48-4749-aafa-28da39ade8c7,Missing (SLCT Remix) (Instrumental Version),Latin,8,Romantic/Sexy,10,#salsa #spicy #hot #tango #dance #carnival #sexy,"Pop,Electronica & Dance:Beats,Synth Pop","Mysterious,Dreamy"
b0d930e3-a57e-44ed-a7fe-e001d3992ab1,Fiesta,"Latin, Pop","8, 9",Upbeat,13,#whistle #rhythm #dance #shaker #tropical,Latin:Urban Latin,"Busy & Frantic,Restless"
f5dd9b5b-2a81-44d9-8d66-6a36df117a4d,Flora,"Latin, Pop","8, 9","Upbeat, Happy","13, 8",#tropical #beachvibes #ocean #waves #sand #beach,Latin:Urban Latin,"Euphoric,Happy"
afb62953-16ac-4ed1-b4a2-de34795563c6,Moving Slow,"Latin, Pop","8, 9","Romantic/Sexy, Upbeat","10, 13",#bright #tropical #beach,Latin:Urban Latin,"Epic,Relaxing"
92655682-a81a-4f41-98d3-e33c78ca70b5,Bonita,"Latin, Pop","8, 9","Happy, Funny","8, 6",#tropical #beachvibes,Latin:Urban Latin,"Eccentric,Happy"
93fcdcc8-31b1-45f4-bc8f-8b8ab67c5715,Turbulencia,"Latin, Pop, Electronic/Synth","8, 9, 4",Upbeat,13,#dance #rave #party,Latin:Urban Latin,"Eccentric,Epic"
32296234-fb99-44cc-8a67-432ac2aa8f02,Solamente,Latin,8,Weird/Eccentric,14,#spanish #contemporary #synth,Latin:Urban Latin,"Eccentric,Happy"
47f70be9-c77f-4636-ab04-55ec2d863540,Manana,"Latin, Hip-Hop, Pop","8, 6, 9",Dreamy/Chill,"1, 3",#rap #dance #moody,Latin:Urban Latin,"Sexy,Restless"
8a40b875-2199-43fc-9f71-c22a6f13d645,Leftovers,Pop,9,"Upbeat, Happy","13, 8",#groovy #house #dance ,Electronica & Dance:House,"Epic,Smooth"
6d199db4-15c1-4203-a966-1e22e6e7846f,Mellifera,Film Score/Ambient,"5, 2","Weird/Eccentric, Suspense, Dark","14, 12",#mystery #atmosphere,"Film,Drones:Mystery,Low Rhythmic Drones","Dark,Weird"
66ce7736-34cd-49f8-aedc-4c75a8d93077,Once Again,"Electronic/Synth, Ambient","4, 2","Dreamy, Chill","1, 3",#synth #retro #vocals ,Rnb & Soul:RnB,"Dreamy,Laid Back"
917ac89e-69f0-4409-8c53-e103654b9425,Last Lullaby,Ambient,2,Chill,1,#sax #lo-fi #daydream #trap,Hip Hop:Alternative Hip Hop,"Laid Back,Peaceful"
3f706512-8b25-4d95-8747-5fcad0bde52c,Jungle X,Electronic,4,Weird,14,#tribal #techno #rave #festival,Hip Hop:Mainstream Hip Hop,Angry
7eba4236-78d5-4644-8578-04e4f46e404d,Outbreak,Electronic/Synth,4,Suspense,12,#epic #superhero #action #buildup #hip-hop #dark,Electronica & Dance:Beats,"Epic,Heavy & Ponderous"
532785b1-6ec3-4bcf-bcd4-aa019d4566ec,Cornered In The Cold,"Electronic/Synth, Classical","4, 3",Suspense,12,#superhero #mysterious #motivational #dark,Electronica & Dance:Beats,"Dark,Suspense"
c2d23102-2fbd-4dbe-92cc-d5e9ac14eb7e,Oooh,Hip-Hop/R&B,6,Dark,2,#hardcore #trap #mean #angry ,Hip Hop:Mainstream Hip Hop,"Dark,Angry"
c19ae4f8-902d-4302-87bf-515eab013e94,Heist Huzzle,Hip-Hop,6,Upbeat,13,#miscellaneous #action #sports,Hip Hop:Trap,Dark
5fb02176-9539-4016-8a79-1e476c5cce0e,Can't Wait,Hip-Hop,6,Dark,2,#westcoast,Hip Hop:Alternative Hip Hop,"Dark,Restless"
6e7caf9e-2c4d-44a7-aeda-c044031b2044,Simulation,Hip-Hop,6,"Upbeat, Chill","13, 1",#trap #banger #cityvibes,Hip Hop:Trap,"Smooth,Dreamy"
22be1d50-f7c4-4011-a695-0f4a6d8a28ad,UltraViolent!,Hip-Hop,6,"Dark, Suspense","2, 12",#trap #808 #banger #turnup ,Hip Hop:Trap,"Dark,Angry"
4608b776-0133-48e7-8fa7-83ee55bade19,Uppercut 1,Soul,11,Upbeat ,13,#vintage #b&w #blackandwhite #citybustle #busy #intense,"Hip Hop,Funk:Old School Hip Hop,Old School Funk","Busy & Frantic,Restless"
a5fa60b1-8ac7-4b3c-85b9-12a69db36ba6,GridWorld,"Hip-Hop, Pop",6,Happy ,8,#outdoors #sunny #bright #festival #bubbly ,Hip Hop:Trap,"Quirky,Epic"
0381b51f-b97c-406b-ade8-ab42b094e20c,Running Away From Problems,Hip-Hop ,6,"Melancholy, Dark",9,#moody #gloomy #serious #eerie,Hip Hop:Trap,"Dark,Dreamy"
bddd0e99-4728-4fc8-88a2-75e0123903cc,Dark Vs Light,Hip-Hop,6,Upbeat,13,#trap #hype #energy #training,Hip Hop:Trap,"Dark,Mysterious"
1bf47f14-1d53-4acf-9ba1-a65626ad6a11,Skeleton,Hip-Hop,6,Dark,2,#trap #808 #cinematic #trilla,Hip Hop:Mainstream Hip Hop,"Euphoric,Happy"
f30aeeda-e190-4ca7-99be-0e96635e27af,Balloon Animals,Hip-Hop/R&B,6,Weird/Eccentric,14,#rap #synth #electronic #miscellaneous #oldschool,"Hip Hop:Mainstream Hip Hop,Old School Hip Hop","Funny,Happy"
bbd157ec-b90d-4d76-8e20-c2accb2c5fd2,Safely,"Hip-Hop, Pop","6, 9","Upbeat, Chill, Dreamy","13, 1, 3",#trippy #dance #desert #content,Hip Hop:Alternative Hip Hop,"Epic,Heavy & Ponderous"
b3a3e204-63a6-45ed-b35d-3d72e46c16da,Last Call,"Hip-Hop/R&B, Pop","6, 9","Dark, Melancholy","2, 9",#justintimberlake #moody #lonely,Hip Hop:Alternative Hip Hop,"Dreamy,Peaceful"
a3d80cb7-2cc4-470f-8bc2-9f983a71235e,Stimulant,Electronic/Synth,4,"Dark, Suspense","2, 12",#mysterious #scary #intense #weird #eccentric,"Electronica & Dance:Dubstep,Techno & Trance","Dark,Suspense"
b3492309-3672-4618-a529-95c48dfc75d8,Zombie Raiders,Electronic,4,Weird/Eccentric,14,#retro #70s #80s #rock #western #sci-fi #action,Electronica & Dance:Electro,"Dark,Heavy & Ponderous"
a78022ef-8c9d-41f2-b7e3-1ddd49871d7c,Kaleidoscope,Electronic/Pop,"4, 9",Dreamy/Upbeat,"3, 13",#magical #whimisical #soft #dreampop #bubbly ,Electronica & Dance:Electro,"Busy & Frantic,Dreamy"
4fe3b089-6249-4126-a1e7-2d0e61150649,Super 1,Electronic/Pop,"4, 9",Dreamy,3,#dreampop #claps #dance #retro #70s #80s,Electronica & Dance:Electro,"Mysterious,Dreamy"
f3a76c4a-937f-47ef-a630-b25303e6be0d,Suburban Electro Dreams 1,Electronic/Pop,"4, 9",Dreamy,3,#retro #70s #80s #dance #celebration,Electronica & Dance:Electro,"Dreamy,Hopeful"
c6573684-36b8-4c54-9cf5-eb6330cf5fbf,Funky Bass,Electronic/Synth,4,"Groovy/Funk, Upbeat","7, 13",#80s #funky #synth #trilla #retro,Electronica & Dance:Electro,"Busy & Frantic,Quirky"
26d69597-a4c7-4fb1-a6f9-c48f52a7f291,Hurts,Pop,9,"Dreamy, Melancholy","3, 9",#dreampop #chill #heartbreak,Electronica & Dance:Beats,"Hopeful,Sad"
cd1efabe-46aa-4595-9409-b1fd7357513d,Don't Give Up On Me (Instrumental Version),Electronic/Synth,4,"Upbeat, Happy","13, 8",#house #dance #retro ,Electronica & Dance:Beats,"Eccentric,Weird"
da06cbd1-5291-42ab-8272-afb4e5f5dfd7,What You Saying (Instrumental Version),"Ambient, Electronic/Synth","2, 4",Chill,1,#dance #moody #trippy #mysterious,Electronica & Dance:Beats,"Mysterious,Dreamy"
6d94f464-2abd-413a-aca3-8325c41b7c6d,Real Low Low (SLCT Remix) (Instrumental Version),Electronic/Pop,"4, 9",Upbeat,13,#retro #electro-pop #70s #80s #shopping,Electronica & Dance:Beats,"Glamorous,Hopeful"
baec0424-4ef1-4704-8f91-85ec5695a4e7,I Want You Always (Instrumental Version),"Electronic/Synth, Pop","4, 9","Happy, Upbeat","8, 13",#dance #tropical #fashion #trendy,Electronica & Dance:Beats,"Hopeful,Peaceful"
c80bee32-5b24-4b7f-9ab8-59e0a75d33b0,So Sure (Instrumental Version),Electronic/Synth,4,Weird/Eccentric,14,#dance #retro #70s #80s,Electronica & Dance:Beats,"Eccentric,Glamorous"
74b3e899-7779-44df-bf97-add9ee0455ca,Cloudy,"Electronic/Synth, Film Score","4, 5","Suspense, Dark","12, 2",#soundscape #angst #scifi,Electronica & Dance:Beats,"Dreamy,Relaxing"
04230e7e-0887-41dc-b860-392918e9321e,All The Night,Electronic/Synth,4,Dreamy,3,#sleepy #mysterious #trippy #alternative #vocals,Electronica & Dance:Beats,"Quirky,Dreamy"
f3ac5df0-0225-48ef-9b35-925b627cc52a,Lullah,"Electronic/Synth, Ambient","4, 2",Dreamy,3,#miscellaneous #upbeat #chill #weird #eccentric #vocals,Electronica & Dance:Beats,"Floating,Relaxing"
6195a37c-a63a-4dea-bb1c-ccc5af62da31,On Your Way,Electronic,4,Funny,6,#vocals #dance #eccentric #weird #ambient,Electronica & Dance:Beats,"Dark,Dreamy"
24b4428a-503d-48a6-9982-fddee811e1db,Zoofari,"Electronic/Synth, Pop","4, 9","Upbeat, Happy","13, 8",#trendy #shopping #fashion,Electronica & Dance:Beats,"Busy & Frantic,Dreamy"
c9986484-0ac2-4541-897b-6271dd64e9f9,Gotta Live Now,Electronic,4,Dreamy,3,#asia #worldmusic,Electronica & Dance:Beats,"Mysterious,Dreamy"
d3574f2b-f6f5-4c64-bcd6-53d0b5bb885d,Awayrunner,Electronic/Synth,4,Weird/Eccentric,13,#chipmunks #contemporary ,"Electronica & Dance:Beats,Electro","Epic,Euphoric"
d7a39534-f8ff-4e89-b6a2-77473e73c3a9,Stoked,"Electronic/Synth, Pop","4, 9","Happy, Chill","8, 1",#8bit #videogame #beats ,Electronica & Dance:Beats,"Hopeful,Happy"
9bc6b8cf-6465-4ef5-aa99-6e02826ec618,Club 2000 1,"Electronic, Hip-Hop","4, 6",Funny,6,#stepup #breakdance #2000s,Hip Hop:Mainstream Hip Hop,"Dark,Dreamy"
4205257c-edb5-49a6-9548-570b4bc6b95b,Devil,"Electronic, R&B","4, 6",Chill,1,#romantic #mysterious #strings,Hip Hop:Mainstream Hip Hop,"Dark,Mysterious"
95c5e2a6-bb7d-4b7b-a873-8c20aad1d227,Blue Birds,R&B,6,Chill,1,#romantic #dreamy #coffeehouse #cafe #lo-fi #jazz,Hip Hop:Alternative Hip Hop,"Dreamy,Laid Back"
f0b5bf8a-569a-4d73-9b07-fa056467408e,Big City Soul 2,Soul,11,Groovy/Funk,7,#oldschool #upbeat #70s,Funk:Old School Funk,"Smooth,Laid Back"
b13c5984-1975-401a-bec8-e3ec1e150f91,Chat,Latin,8,Romantic/Sexy,10,#tropical #salsa #dance ,Latin:Urban Latin,"Mysterious,Dreamy"
b9fdd164-c864-4190-a05a-bcd46fdbb2c5,Fields,Hip-Hop,6,"Dreamy, Chill","1, 3",#oceanjams #lofi #tropical #westcoast ,Hip Hop:Alternative Hip Hop,"Dark,Dreamy"
2881094a-39ef-42af-a717-82d4be486c4a,Etiqueta,Latin,8,Chill,1,#trumpet #smooth #tropical #dope,Latin:Urban Latin,"Mysterious,Laid Back"